split,class,kind,path,source,metadata
train,empty,original,train/original/empty/original_0001.jpg,train/empty/original_0001.jpg,
train,empty,original,train/original/empty/original_0002.jpg,train/empty/original_0002.jpg,
train,empty,original,train/original/empty/original_0003.jpg,train/empty/original_0003.jpg,
train,empty,original,train/original/empty/original_0004.jpg,train/empty/original_0004.jpg,
train,empty,original,train/original/empty/original_0005.jpg,train/empty/original_0005.jpg,
train,empty,original,train/original/empty/original_0006.jpg,train/empty/original_0006.jpg,
train,empty,original,train/original/empty/original_0007.jpg,train/empty/original_0007.jpg,
train,empty,original,train/original/empty/original_0008.jpg,train/empty/original_0008.jpg,
train,empty,original,train/original/empty/original_0009.jpg,train/empty/original_0009.jpg,
train,empty,original,train/original/empty/original_0010.jpg,train/empty/original_0010.jpg,
train,empty,original,train/original/empty/original_0011.jpg,train/empty/original_0011.jpg,
train,empty,original,train/original/empty/original_0012.jpg,train/empty/original_0012.jpg,
train,empty,original,train/original/empty/original_0013.jpg,train/empty/original_0013.jpg,
train,empty,original,train/original/empty/original_0014.jpg,train/empty/original_0014.jpg,
train,empty,original,train/original/empty/original_0015.jpg,train/empty/original_0015.jpg,
train,empty,original,train/original/empty/original_0016.jpg,train/empty/original_0016.jpg,
train,empty,original,train/original/empty/original_0017.jpg,train/empty/original_0017.jpg,
train,empty,original,train/original/empty/original_0018.jpg,train/empty/original_0018.jpg,
train,empty,original,train/original/empty/original_0019.jpg,train/empty/original_0019.jpg,
train,empty,original,train/original/empty/original_0020.jpg,train/empty/original_0020.jpg,
train,empty,original,train/original/empty/original_0021.jpg,train/empty/original_0021.jpg,
train,empty,original,train/original/empty/original_0022.jpg,train/empty/original_0022.jpg,
train,empty,original,train/original/empty/original_0023.jpg,train/empty/original_0023.jpg,
train,empty,original,train/original/empty/original_0024.jpg,train/empty/original_0024.jpg,
train,empty,original,train/original/empty/original_0025.jpg,train/empty/original_0025.jpg,
train,empty,original,train/original/empty/original_0026.jpg,train/empty/original_0026.jpg,
train,empty,original,train/original/empty/original_0027.jpg,train/empty/original_0027.jpg,
train,empty,original,train/original/empty/original_0028.jpg,train/empty/original_0028.jpg,
train,empty,original,train/original/empty/original_0029.jpg,train/empty/original_0029.jpg,
train,empty,original,train/original/empty/original_0030.jpg,train/empty/original_0030.jpg,
train,half-full,original,train/original/half-full/original_0001.jpg,train/half-full/original_0001.jpg,
train,half-full,original,train/original/half-full/original_0002.jpg,train/half-full/original_0002.jpg,
train,half-full,original,train/original/half-full/original_0003.jpg,train/half-full/original_0003.jpg,
train,half-full,original,train/original/half-full/original_0004.jpg,train/half-full/original_0004.jpg,
train,half-full,original,train/original/half-full/original_0005.jpg,train/half-full/original_0005.jpg,
train,half-full,original,train/original/half-full/original_0006.jpg,train/half-full/original_0006.jpg,
train,half-full,original,train/original/half-full/original_0007.jpg,train/half-full/original_0007.jpg,
train,half-full,original,train/original/half-full/original_0008.jpg,train/half-full/original_0008.jpg,
train,half-full,original,train/original/half-full/original_0009.jpg,train/half-full/original_0009.jpg,
train,half-full,original,train/original/half-full/original_0010.jpg,train/half-full/original_0010.jpg,
train,half-full,original,train/original/half-full/original_0011.jpg,train/half-full/original_0011.jpg,
train,half-full,original,train/original/half-full/original_0012.jpg,train/half-full/original_0012.jpg,
train,half-full,original,train/original/half-full/original_0013.jpg,train/half-full/original_0013.jpg,
train,half-full,original,train/original/half-full/original_0014.jpg,train/half-full/original_0014.jpg,
train,half-full,original,train/original/half-full/original_0015.jpg,train/half-full/original_0015.jpg,
train,half-full,original,train/original/half-full/original_0016.jpg,train/half-full/original_0016.jpg,
train,half-full,original,train/original/half-full/original_0017.jpg,train/half-full/original_0017.jpg,
train,half-full,original,train/original/half-full/original_0018.jpg,train/half-full/original_0018.jpg,
train,half-full,original,train/original/half-full/original_0019.jpg,train/half-full/original_0019.jpg,
train,half-full,original,train/original/half-full/original_0020.jpg,train/half-full/original_0020.jpg,
train,half-full,original,train/original/half-full/original_0021.jpg,train/half-full/original_0021.jpg,
train,half-full,original,train/original/half-full/original_0022.jpg,train/half-full/original_0022.jpg,
train,half-full,original,train/original/half-full/original_0023.jpg,train/half-full/original_0023.jpg,
train,half-full,original,train/original/half-full/original_0024.jpg,train/half-full/original_0024.jpg,
train,half-full,original,train/original/half-full/original_0025.jpg,train/half-full/original_0025.jpg,
train,half-full,original,train/original/half-full/original_0026.jpg,train/half-full/original_0026.jpg,
train,half-full,original,train/original/half-full/original_0027.jpg,train/half-full/original_0027.jpg,
train,half-full,original,train/original/half-full/original_0028.jpg,train/half-full/original_0028.jpg,
train,half-full,original,train/original/half-full/original_0029.jpg,train/half-full/original_0029.jpg,
train,half-full,original,train/original/half-full/original_0030.jpg,train/half-full/original_0030.jpg,
train,half-full,original,train/original/half-full/original_0031.jpg,train/half-full/original_0031.jpg,
train,half-full,original,train/original/half-full/original_0032.jpg,train/half-full/original_0032.jpg,
train,half-full,original,train/original/half-full/original_0033.jpg,train/half-full/original_0033.jpg,
train,half-full,original,train/original/half-full/original_0034.jpg,train/half-full/original_0034.jpg,
train,half-full,original,train/original/half-full/original_0035.jpg,train/half-full/original_0035.jpg,
train,half-full,original,train/original/half-full/original_0036.jpg,train/half-full/original_0036.jpg,
train,half-full,original,train/original/half-full/original_0037.jpg,train/half-full/original_0037.jpg,
train,half-full,original,train/original/half-full/original_0038.jpg,train/half-full/original_0038.jpg,
train,half-full,original,train/original/half-full/original_0039.jpg,train/half-full/original_0039.jpg,
train,half-full,original,train/original/half-full/original_0040.jpg,train/half-full/original_0040.jpg,
train,half-full,original,train/original/half-full/original_0041.jpg,train/half-full/original_0041.jpg,
train,half-full,original,train/original/half-full/original_0042.jpg,train/half-full/original_0042.jpg,
train,half-full,original,train/original/half-full/original_0043.jpg,train/half-full/original_0043.jpg,
train,half-full,original,train/original/half-full/original_0044.jpg,train/half-full/original_0044.jpg,
train,half-full,original,train/original/half-full/original_0045.jpg,train/half-full/original_0045.jpg,
train,half-full,original,train/original/half-full/original_0046.jpg,train/half-full/original_0046.jpg,
train,half-full,original,train/original/half-full/original_0047.jpg,train/half-full/original_0047.jpg,
train,half-full,original,train/original/half-full/original_0048.jpg,train/half-full/original_0048.jpg,
train,half-full,original,train/original/half-full/original_0049.jpg,train/half-full/original_0049.jpg,
train,half-full,original,train/original/half-full/original_0050.jpg,train/half-full/original_0050.jpg,
train,half-full,original,train/original/half-full/original_0051.jpg,train/half-full/original_0051.jpg,
train,half-full,original,train/original/half-full/original_0052.jpg,train/half-full/original_0052.jpg,
train,half-full,original,train/original/half-full/original_0053.jpg,train/half-full/original_0053.jpg,
train,half-full,original,train/original/half-full/original_0054.jpg,train/half-full/original_0054.jpg,
train,half-full,original,train/original/half-full/original_0055.jpg,train/half-full/original_0055.jpg,
train,half-full,original,train/original/half-full/original_0056.jpg,train/half-full/original_0056.jpg,
train,half-full,original,train/original/half-full/original_0057.jpg,train/half-full/original_0057.jpg,
train,half-full,original,train/original/half-full/original_0058.jpg,train/half-full/original_0058.jpg,
train,half-full,original,train/original/half-full/original_0059.jpg,train/half-full/original_0059.jpg,
train,half-full,original,train/original/half-full/original_0060.jpg,train/half-full/original_0060.jpg,
train,half-full,original,train/original/half-full/original_0061.jpg,train/half-full/original_0061.jpg,
train,half-full,original,train/original/half-full/original_0062.jpg,train/half-full/original_0062.jpg,
train,half-full,original,train/original/half-full/original_0063.jpg,train/half-full/original_0063.jpg,
train,half-full,original,train/original/half-full/original_0064.jpg,train/half-full/original_0064.jpg,
train,full,original,train/original/full/original_0001.jpg,train/full/original_0001.jpg,
train,full,original,train/original/full/original_0002.jpg,train/full/original_0002.jpg,
train,full,original,train/original/full/original_0003.jpg,train/full/original_0003.jpg,
train,full,original,train/original/full/original_0004.jpg,train/full/original_0004.jpg,
manual-review,full,original,manual-review/full/train_original_0005.jpg,train/full/original_0005.jpg,strict-fill-definition ambiguity
manual-review,full,original,manual-review/full/train_original_0006.jpg,train/full/original_0006.jpg,strict-fill-definition ambiguity
manual-review,full,original,manual-review/full/train_original_0007.jpg,train/full/original_0007.jpg,strict-fill-definition ambiguity
manual-review,full,original,manual-review/full/train_original_0008.jpg,train/full/original_0008.jpg,strict-fill-definition ambiguity
train,full,original,train/original/full/original_0009.jpg,train/full/original_0009.jpg,
train,full,original,train/original/full/original_0010.jpg,train/full/original_0010.jpg,
train,full,original,train/original/full/original_0011.jpg,train/full/original_0011.jpg,
train,full,original,train/original/full/original_0012.jpg,train/full/original_0012.jpg,
train,full,original,train/original/full/original_0013.jpg,train/full/original_0013.jpg,
train,full,original,train/original/full/original_0014.jpg,train/full/original_0014.jpg,
train,full,original,train/original/full/original_0015.jpg,train/full/original_0015.jpg,
train,full,original,train/original/full/original_0016.jpg,train/full/original_0016.jpg,
train,full,original,train/original/full/original_0017.jpg,train/full/original_0017.jpg,
train,full,original,train/original/full/original_0018.jpg,train/full/original_0018.jpg,
train,full,original,train/original/full/original_0019.jpg,train/full/original_0019.jpg,
train,full,original,train/original/full/original_0020.jpg,train/full/original_0020.jpg,
train,full,original,train/original/full/original_0021.jpg,train/full/original_0021.jpg,
train,full,original,train/original/full/original_0022.jpg,train/full/original_0022.jpg,
